Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems
labrador retriever,canada,"yellow, black, chocolate",21-24,brown,10-12,"loyal, friendly, intelligent, energetic, good-natured","hip dysplasia, obesity, ear infections"
german shepherd,germany,"black, tan",22-26,brown,7-10,"loyal, intelligent, protective, confident, trainable","hip dysplasia, elbow dysplasia, pancreatitis"
bulldog,england,"white, red",12-16,brown,8-10,"loyal, calm, gentle, brave","skin allergies, respiratory issues, obesity"
poodle,france,"white, black, brown, apricot",10-15,"brown, blue",12-15,"intelligent, active, affectionate, hypoallergenic","hip dysplasia, epilepsy, bladder stones"
beagle,england,"white, tan, red, lemon",13-15,brown,12-15,"curious, friendly, energetic, good-natured","ear infections, hip dysplasia, epilepsy"
chihuahua,mexico,"black, brown, tan, white",6-9,"brown, blue",12-20,"loyal, energetic, confident, sensitive","dental problems, eye issues, respiratory issues"
boxer,germany,"fawn, brindle",21-25,brown,10-12,"loyal, energetic, intelligent, playful, protective","hip dysplasia, cancer, heart conditions"
golden retriever,scotland,golden,21-24,brown,10-12,"intelligent, friendly, kind, loyal, good-natured","hip dysplasia, cancer, skin allergies"
pug,china,"fawn, black",10-14,brown,12-15,"loyal, playful, affectionate, social, charming","eye problems, respiratory issues, obesity"
rottweiler,germany,"black, tan",22-27,brown,8-10,"loyal, protective, confident, strong","hip dysplasia, cancer, elbow dysplasia"
siberian husky,russia,"black, white",21-24,blue,12-15,"independent, energetic, intelligent, playful, strong","hip dysplasia, eye problems, hereditary myopathy"
dachshund,germany,"black, tan",5-9,"brown, blue",12-15,"loyal, energetic, playful, curious","intervertebral disc disease, hip dysplasia, diabetes"
shih tzu,china,"black, white, brown",9-10,brown,10-16,"affectionate, playful, confident, good-natured","dental problems, respiratory issues, eye problems"
bichon frise,france,white,9-11,brown,12-15,"playful, affectionate, intelligent, social","dental problems, eye problems, bladder stones"
australian shepherd,australia,"black, red",18-23,"brown, blue",12-15,"intelligent, energetic, loyal, trainable","hip dysplasia, eye problems, epilepsy"
basset hound,france,"black, tan",11-15,brown,10-12,"affectionate, patient, gentle, good-natured","dental problems, ear infections, obesity"
cocker spaniel,england,"black, brown",14-15,brown,12-15,"affectionate, intelligent, energetic, good-natured","ear infections, hip dysplasia, eye problems"
french bulldog,france,"white, black, brindle",11-12,brown,10-12,"affectionate, playful, good-natured","breathing problems, eye problems, hip dysplasia"
pomeranian,germany,"orange, sable, black",6-7,brown,12-16,"playful, energetic, intelligent, good-natured","dental problems, eye problems, obesity"
great dane,germany,"black, blue, fawn, harlequin",28-34,brown,8-10,"gentle, loyal, intelligent, good-natured","hip dysplasia, cancer, heart conditions"
mastiff,england,"apricot, fawn",30-34,brown,8-10,"loyal, gentle, protective, good-natured","hip dysplasia, heart conditions, cancer"
newfoundland,canada,"black, brown, grey",26-28,brown,9-11,"loyal, intelligent, gentle, good-natured","hip dysplasia, heart conditions, cancer"
saint bernard,switzerland,"red, white",26-30,brown,8-10,"loyal, intelligent, gentle, protective","hip dysplasia, cancer, heart conditions"
old english sheepdog,england,"blue, grey",22-26,brown,10-12,"gentle, intelligent, good-natured, protective","hip dysplasia, eye problems, skin allergies"
irish wolfhound,ireland,"grey, red, black",30-35,brown,6-8,"gentle, loyal, intelligent, good-natured","hip dysplasia, heart conditions, cancer"
greyhound,england,"black, white, brindle",26-30,brown,10-12,"intelligent, athletic, sensitive, good-natured","hip dysplasia, eye problems, heart conditions"
scottish deerhound,scotland,"blue, grey",28-32,brown,8-10,"gentle, intelligent, good-natured, independent","hip dysplasia, heart conditions, cancer"
great pyrenees,france,white,25-32,brown,10-12,"loyal, intelligent, gentle, protective","hip dysplasia, cancer, skin allergies"
shar pei,china,"cream, fawn",18-20,brown,8-12,"independent, loyal, intelligent, good-natured","skin allergies, eye problems, hip dysplasia"
doberman pinscher,germany,"black, red",24-28,brown,10-12,"loyal, energetic, intelligent, protective","hip dysplasia, heart conditions, cancer"
weimaraner,germany,"silver, grey",25-29,"blue, grey",10-12,"energetic, intelligent, good-natured, loyal","hip dysplasia, eye problems, cancer"
belgian malinois,belgium,"fawn, mahogany",22-26,brown,12-14,"intelligent, energetic, loyal, protective","hip dysplasia, eye problems, skin allergies"
rhodesian ridgeback,rhodesia,light wheaten,25-27,brown,10-12,"intelligent, athletic, loyal, good-natured","hip dysplasia, eye problems, cancer"
